CensusTract,County,DI_ID,FoodProducing,Latitude,Longitude,ObjectID,State,GardenName,Address,NeighborhoodName
N/A,Q,NY204,N/A,N/A,N/A,Q045A,NY,"LIC Comm. Gardens, Inc.",S/S 49th Avenue./W/O Vernon Boulevard.,Long Island City
33,B,NY205,N/A,40.689322,-73.975044,NA,NY,Greene Garden,2 South Portland Avenue,N/A
N/A,B,NY206,N/A,N/A,N/A,B484,NY,Gregory's Garden (P.S. 158 Memorial Garden),"444,448 Warwick Avenue",East New York
377,B,NY207,N/A,40.684918,-73.922702,NA,NY,Halsey Ralph and Howard Garden,774 Halsey St.,N/A
267,B,NY208,N/A,40.683344,-73.942924,B473,NY,Hancock T & T Block Association,322-324 Hancock Street,N/A
N/A,B,NY209,N/A,N/A,N/A,B527,NY,Hands & Heart (New Lots Urban Farm),New Lots Avenue,East New York
2,X,NY210,N/A,40.807736,-73.857874,X118A,NY,Harding Park Beautification Project,155 Harding Park,N/A
206,M,NY211,N/A,40.808821,-73.9401,M363,NY,Harlem Rose Garden,4-8 E 129th Street,N/A
226,M,NY212,N/A,40.813777,-73.942176,M297,NY,Harlem Success Garden - P.S. 175/I.S. 275,116 - 122 West 134th Street,Harlem
208,M,NY213,N/A,40.809753,-73.94231,NA,NY,Harlem Village Green,52 W 129th Street,Harlem
261,B,NY214,N/A,40.693662,-73.94457,NA,NY,Hart Street Community Garden,169-171 Hart Street,Bed-Stuy
261,B,NY215,N/A,40.693312,-73.947474,B474,NY,Hart to Hart,104-108 Hart Street,Bed-Stuy
N/A,B,NY216,N/A,N/A,N/A,B400,NY,Hattie Carthan Community Garden,654 Lafayette Avenue/363-365 Clifton Place,Bed-Stuy
505,B,NY217,N/A,40.708692,-73.944327,NA,NY,Heckscher Foundation For Children's Garden,134-136 Scholes Street,Williamsburg
1160,B,NY218,N/A,40.668485,-73.888314,NA,NY,Hendrix Street Community Garden (Block Association of Hendrix Street),532 Hendrix Street,East New York
172,M,NY219,N/A,40.795069,-73.943106,NA,NY,Herb Garden (111th St. Betterment Association),176 E 111th Street,East Harlem
1150,B,NY220,N/A,40.674263,-73.888701,B475,NY,Herbal Garden of East New York,582 - 590 Glenmore Avenue,East New York
139,M,NY221,N/A,40.767791,-73.987531,NA,NY,High School For Environmental Studies,444 W 56th Street NY NY 10019,Midtown
N/A,B,NY222,N/A,N/A,N/A,B047A,NY,Highland Park Children's Garden,Jamaica Avenue,Highland Park
199,B,NY223,N/A,40.685321,-73.965249,NA,NY,Hollenback Community Garden,460 Washington Avenue,Clinton Hill
178,M,NY224,N/A,40.79645,-73.934347,NA,NY,Home Depot Community Garden  (St. Mark's Monastery 1),415-421 East 117th Street,East Harlem
3002,M,NY225,N/A,40.722289,-73.984094,M371,NY,Hope Garden,193 East 2nd Street,East Village
229,M,NY226,N/A,40.823414,-73.94895,NA,NY,Hope Steven Garden,1656 Amsterdam Avenue,Hamilton Heights
N/A,X,NY227,N/A,N/A,N/A,X346,NY,Hornaday Community Garden (Volky Flower Garden),851 Hornaday Avenue,N/A
892,B,NY228,N/A,40.663636,-73.918957,B528,NY,Howard Garden,750 Howard Avenue,Brownsville
369,B,NY229,N/A,40.679912,-73.907566,B413,NY,Hull Street Community Garden Inc.,196 Hull Street,Ocean Hill / Brownsville
371,B,NY230,N/A,40.679465,-73.911615,NA,NY,Hull Street Playground,145 Hull Street,Bed-Stuy
170,M,NY231,N/A,40.791109,-73.939592,M344,NY,Humacao Community Garden,335 E 108th Street,East Harlem
